prop_no,parcel_id,owner_name,legal_description,subdivision,address,city,zip_code,land_sqft,property_type,minimum_bid,resale_costs_fees,notes,page_number,source_notes
294,20725-93-03-06410,Unknown,LT 5 BLK 1 JOHANSEN SUB TR1-2 GLENHAVEN & B3-4 GLEN,HAVEN AMD,6330 E 4 PL S,CITY OF TULSA,,"11,900",R IMP,"5,429.45",395.25,,43,"PDF page 43, property #294"
295,21350-03-30-12520,Unknown,N 80 S 85 W. 1/2 LT 14 BLK 2,KINLOCH PARK,2005 E PINE ST N,CITY OF TULSA,,"7,879",C IMP,"1,129.22",442.50,,44,"PDF page 44, property #295"
296,21350-03-30-12540,Unknown,E 1/2 LTS 14 15 B LK 2,KINLOCH PARK,2013 E PINE ST N,CITY OF TULSA,,"19,021",C IMP,"1,965.13",442.50,,44,"PDF page 44, property #296"
297,21350-03-30-12590,Unknown,S 1/2 LT 17 BLK 2,KINLOCH PARK,1527 N XANTHUS AV E,CITY OF TULSA,,"10,000",R IMP,"1,561.84",646.25,,44,"PDF page 44, property #297"
298,21375-83-11-00430,Unknown,LT 22 BLK 2,KIRKDALE,6937 E 73 ST S,CITY OF TULSA,,"8,763",R IMP,"10,594.27",316.50,,44,"PDF page 44, property #298"
299,21600-02-35-08590,Unknown,LT 28 BLK 1,KRAATZ-GERLACH ADDN,1348 N MAIN ST W,CITY OF TULSA,,"6,165",R HS IMP,"3,695.33",379.50,,44,"PDF page 44, property #299"
300,21825-03-17-02890,Unknown,LT  5 BLK 7,LAKE-VIEW HGTS AMD RESUB PRT B1-2 & B3-6,2868 E 43 ST N,CITY OF TULSA,,"7,316",R,293.30,302.25,,44,"PDF page 44, property #300"
301,21825-03-17-03110,Unknown,LT 27 BLK 7,LAKE-VIEW HGTS AMD RESUB PRT B1-2 & B3-6,2843 E 42 PL N,CITY OF TULSA,,"7,316",R IMP,"2,949.87",332.25,,44,"PDF page 44, property #301"
302,21825-03-17-03140,Unknown,LT 30 BLK 7,LAKE-VIEW HGTS AMD RESUB PRT B1-2 & B3-6,2857 E 42 PL N,CITY OF TULSA,,"7,316",R IMP,"1,727.25",332.25,,45,"PDF page 45, property #302"
303,21825-03-17-03540,Unknown,LT 7 BLK 9,LAKE-VIEW HGTS AMD RESUB PRT B1-2 & B3-6,2820 E 42 ST N,CITY OF TULSA,,"7,440",R IMP,"2,599.74",363.75,,45,"PDF page 45, property #303"
304,21825-03-17-03920,Unknown,LT 26 BLK 10,LAKE-VIEW HGTS AMD RESUB PRT B1-2 & B3-6,4241 N EVANSTON PL E,CITY OF TULSA,,"10,453",R IMP,"2,173.09",348.00,,45,"PDF page 45, property #304"
305,21825-03-17-04060,Unknown,LT 40 BLK 10,LAKE-VIEW HGTS AMD RESUB PRT B1-2 & B3-6,4427 N EVANSTON PL E,CITY OF TULSA,,"7,788",R IMP,"1,273.20",379.50,,45,"PDF page 45, property #305"
306,21850-03-17-04300,Unknown,LT 3 BLK 3,LAKE-VIEW HGTS AMD RESUB B2-3 & L46-47 B10,2840 E 45 PL N,CITY OF TULSA,,"7,728",R IMP,"1,757.15",332.25,,45,"PDF page 45, property #306"
307,21850-03-17-04430,Unknown,LT 16 BLK 3,LAKE-VIEW HGTS AMD RESUB B2-3 & L46-47 B10,2821 E 45 ST N,CITY OF TULSA,,"6,552",R,146.65,302.25,,45,"PDF page 45, property #307"
308,21850-03-17-04520,Unknown,LT 25 LESS W2 BLK 3,LAKE-VIEW HGTS AMD RESUB B2-3 & L46-47 B10,2863 E 45 ST N,CITY OF TULSA,,"6,300",R HS IMP,"1,580.87",332.25,,45,"PDF page 45, property #308"
309,21875-03-17-04770,Unknown,LT 4 BLK 2,LAKEVIEW HGTS SECOND ADDN,4004 N DELAWARE AV E,CITY OF TULSA,,"7,410",R HS IMP,"1,482.90",395.25,,46,"PDF page 46, property #309"
310,21875-03-17-04910,Unknown,LT 18 BLK 2,LAKEVIEW HGTS SECOND ADDN,3838 N DELAWARE AV E,CITY OF TULSA,,"7,410",R,183.31,318.00,,46,"PDF page 46, property #310"
311,21875-03-17-04950,Unknown,LT 2 BLK 3,LAKEVIEW HGTS SECOND ADDN,2830 E 40 PL N,CITY OF TULSA,,"7,800",R,146.65,302.25,,46,"PDF page 46, property #311"
312,21875-03-17-04960,Unknown,LT 3 BLK 3,LAKEVIEW HGTS SECOND ADDN,2826 E 40 PL N,CITY OF TULSA,,"7,800",R HS IMP,"2,289.58",332.25,,46,"PDF page 46, property #312"
313,21875-03-17-05000,Unknown,LT 7 BLK 3,LAKEVIEW HGTS SECOND ADDN,4009 N DELAWARE AV E,CITY OF TULSA,,"8,450",R IMP,"2,561.07",316.50,,46,"PDF page 46, property #313"
314,22025-03-35-07520,Unknown,LT 9 BLK 2,LANE ADDN OF L12 AVIATION VIEW SUB,1226 N 67 AV E,CITY OF TULSA,,"7,356",R IMP,"3,629.63",411.00,,46,"PDF page 46, property #314"
315,22084-02-36-39300,Unknown,LT 4 BLK 1,LANSING INDUSTRIAL PARK III,1414 N NORFOLK AV E,CITY OF TULSA,,"85,606",C IMP,"51,328.20",363.75,,46,"PDF page 46, property #315"
316,22100-92-28-02330,Unknown,LT-9-BLK-1,LAUREL HGTS ADDN,4109 S 41 AV W,CITY OF TULSA,,"8,525",R IMP,"4,589.54",316.50,,47,"PDF page 47, property #316"
317,22100-92-28-03130,Unknown,LT-10-BLK-7,LAUREL HGTS ADDN,3904 W 41 PL S,CITY OF TULSA,,"10,120",R HS IMP,"5,361.41",332.25,,47,"PDF page 47, property #317"
318,22175-92-08-02140,Unknown,LT 11 BLK 4,LAWNWOOD ADDN,6037 W 9 ST S,CITY OF TULSA,,"7,500",R IMP,"1,229.87",348.00,,47,"PDF page 47, property #318"
319,22200-03-36-00370,Unknown,LT 7 BLK 3,LAYMAN ACRES,8934 E MARSHALL PL N,CITY OF TULSA,,"7,320",R HS IMP,"5,094.88",316.50,,47,"PDF page 47, property #319"
320,22300-02-25-13780,Unknown,LT 1 BLK 3,LECLAIRE ADDN,2204 N MADISON AV E,CITY OF TULSA,,"7,314",R IMP,"2,419.09",316.50,,47,"PDF page 47, property #320"
321,22300-02-25-14130,Unknown,LT 12 BLK 4,LECLAIRE ADDN,2250 N LANSING AV E,CITY OF TULSA,,"7,208",R,439.95,286.50,,47,"PDF page 47, property #321"
322,22300-02-25-14280,Unknown,LTS 10 & 11 BLK 5,LECLAIRE ADDN,2143 N MIDLAND PL E,CITY OF TULSA,,"21,128",R IMP,615.99,332.25,,47,"PDF page 47, property #322"
323,22350-93-31-06310,Unknown,LT 2 BLK 11,LECRONE'S LAZY L ADDN B9-12,1608 E 54 ST S,CITY OF TULSA,,"7,620",R IMP,"7,464.70",332.25,,48,"PDF page 48, property #323"
324,22500-93-11-03590,Unknown,LT 28 BLK 3,LEISURE LANES,6943 E 17 ST S,CITY OF TULSA,,"7,686",R HS IMP,"8,641.73",411.00,,48,"PDF page 48, property #324"
325,22600-93-11-06975,Unknown,W15 LT 6 BLK 1,LEISURE LANES SECOND ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,810,R,14.66,286.50,,48,"PDF page 48, property #325"
326,22600-93-11-06985,Unknown,W15 LT 7 BLK 1,LEISURE LANES SECOND ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,810,R,14.66,286.50,,48,"PDF page 48, property #326"
327,22600-93-11-06995,Unknown,W15 LT 8 BLK 1,LEISURE LANES SECOND ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,810,R,14.66,318.00,,48,"PDF page 48, property #327"
328,22600-93-11-07115,Unknown,W15 LT 3 BLK 2,LEISURE LANES SECOND ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,825,R,14.66,333.75,,48,"PDF page 48, property #328"
329,22700-93-19-07460,Unknown,E 1/2 LT 3 BLK 2,LEOKI PLACE,1424 E 36 PL S,CITY OF TULSA,,"7,420",R IMP,"15,265.59",348.00,,48,"PDF page 48, property #329"
330,22775-94-17-02590,Unknown,LOT-5-BLK-9,LESLIE LEIGH SECOND ADDN,2325 S 119 AV E,CITY OF TULSA,,"8,494",R IMP,"7,281.27",363.75,,49,"PDF page 49, property #330"
331,23000-03-27-08140,Unknown,LTS 2 & 3 & N/2 LT 4 & E635.5 S/2 LT 4 & E635.5 LT 5 BLK 3,S R LEWIS ADDN,APACHE & N YALE AV E,CITY OF TULSA,,"297,810",C,"3,509.05",302.25,,49,"PDF page 49, property #331"
332,23125-02-25-14610,Unknown,LT 7 BLK 1,LIBERTY 2ND ADDN,2001 N OWASSO AV E,CITY OF TULSA,,"6,900",R HS IMP,"2,740.17",395.25,,49,"PDF page 49, property #332"
333,23125-02-25-14790,Unknown,LT 3 BLK 3,LIBERTY 2ND ADDN,2016 N NORFOLK AV E,CITY OF TULSA,,"6,900",R IMP,"4,116.25",332.25,,49,"PDF page 49, property #333"
334,23125-02-25-15020,Unknown,LT 1 BLK 5,LIBERTY 2ND ADDN,1880 N MADISON PL E,CITY OF TULSA,,"6,900",R,733.26,333.75,,49,"PDF page 49, property #334"
335,23125-02-25-15060,Unknown,LT 5 BLK 5,LIBERTY 2ND ADDN,1864 N MADISON PL E,CITY OF TULSA,,"6,900",R HS IMP,"1,974.36",332.25,,49,"PDF page 49, property #335"
336,23125-02-25-15260,Unknown,LT 10 BLK 6,LIBERTY 2ND ADDN,1863 N MADISON PL E,CITY OF TULSA,,"6,900",R IMP,"8,525.46",363.75,,49,"PDF page 49, property #336"
337,23125-02-25-15350,Unknown,LT 5 BLK 7,LIBERTY 2ND ADDN,1864 N OWASSO AV E,CITY OF TULSA,,"6,900",R IMP,"3,140.35",332.25,,50,"PDF page 50, property #337"
338,23175-03-30-13010,Unknown,LT 1 BLK 1,LINCOLN HGTS,2545 N ROCKFORD AV E,CITY OF TULSA,,"9,500",C IMP,986.56,363.75,,50,"PDF page 50, property #338"
339,23175-03-30-13240,Unknown,LT 13 BLK 2,LINCOLN HGTS,2507 N QUINCY AV E,CITY OF TULSA,,"7,700",R IMP,"1,612.50",316.50,,50,"PDF page 50, property #339"
340,23175-03-30-13500,Unknown,LT 17 BLK 3,LINCOLN HGTS,2525 N QUAKER AV E,CITY OF TULSA,,"6,720",R HS IMP,"1,856.04",348.00,,50,"PDF page 50, property #340"
341,23175-03-30-13510,Unknown,LT 18 BLK 3,LINCOLN HGTS,2529 N QUAKER AV E,CITY OF TULSA,,"7,280",R IMP,"1,358.53",442.50,,50,"PDF page 50, property #341"
342,23175-03-30-13610,Unknown,LT 6 BLK 4,LINCOLN HGTS,2526 N QUAKER AV E,CITY OF TULSA,,"7,000",R IMP,"3,115.02",316.50,,50,"PDF page 50, property #342"
343,23175-03-30-13620,Unknown,N/2 LT 7 BLK 4,LINCOLN HGTS,ADDRESS UNKNOWN,CITY OF TULSA,,"3,500",R,29.33,270.75,,50,"PDF page 50, property #343"
344,23175-03-30-13650,Unknown,LT 10 BLK 4,LINCOLN HGTS,2508 N QUAKER AV E,CITY OF TULSA,,"7,700",R IMP,"2,088.45",348.00,,51,"PDF page 51, property #344"
345,23175-03-30-13720,Unknown,LT 17 BLK 4,LINCOLN HGTS,2525 N PEORIA AV E,CITY OF TULSA,,"7,000",R IMP,"2,419.09",316.50,,51,"PDF page 51, property #345"
348,23325-92-11-33290,Unknown,"UNIT 200-0322-D & 0.0024038 INT IN COMMON ELEMENTS OF CENTRAL PARK CONDOMINIUM BEING PRT BLKS 1 & 2 & 7 & 8 LINDSEY 1ST ADDN 410 W 7 ST S CITY OF TULSA R       IMP 2,911.04 363.75 349 23410-83-04-37790 LT 15 BLK 4 LIVINGSTON PARK SOUTH RESUB PRT LIVINGSTON",PARK B1,6444 S SANDUSKY AV E,CITY OF TULSA,,"13,912",R HS IMP,"14,856.04",363.75,,51,"PDF page 51, property #348"
350,23410-83-04-38510,Unknown,LT 33 BLK 7 LIVINGSTON PARK SOUTH RESUB PRT LIVINGSTON,PARK B1,4128 E 63 ST S,CITY OF TULSA,,"15,127",R IMP,"27,481.17",332.25,,52,"PDF page 52, property #350"
351,23425-02-35-09670,Unknown,LT 3 BLK 4,LLOYD ADDN,1440 N MAIN ST W,CITY OF TULSA,,"6,850",R HS IMP,"8,225.20",379.50,,52,"PDF page 52, property #351"
352,23600-93-24-15470,Unknown,LOT-23-BLK-2,LONGVIEW ACRES 3RD ADDN,8149 E 31 CT S,CITY OF TULSA,,"8,470",R HS IMP,"6,496.28",348.00,,52,"PDF page 52, property #352"
353,23625-93-13-04820,Unknown,LT 9 BLK 1,LONGVIEW ACRES FOURTH,2911 S 94 AV E,CITY OF TULSA,,"9,450",R IMP,"10,330.96",316.50,,52,"PDF page 52, property #353"
354,23707-94-18-27720,Unknown,LT 19 LESS PRT BEG SECR TH NW9.40 NLY88.20 E3.46 S90 POB BLK 22,LONGVIEW LAKE ESTATES B17-22,2711 S 104 AV E,CITY OF TULSA,,"8,975",R HS IMP,"8,317.54",348.00,,52,"PDF page 52, property #354"
355,23708-94-18-20720,Unknown,LT 3 BLK 24,LONGVIEW LAKE ESTATES B23-29,10150 E 25 ST S,CITY OF TULSA,,"8,376",R IMP,"12,164.78",332.25,,52,"PDF page 52, property #355"
356,23708-94-18-21560,Unknown,LT 16 BLK 27,LONGVIEW LAKE ESTATES B23-29,10210 E 23 PL S,CITY OF TULSA,,"7,700",R IMP,"12,389.42",316.50,,52,"PDF page 52, property #356"
357,23850-93-15-11970,Unknown,LT 1 BLK 1,LORTONDALE ADDN,4999 E 26 ST S,CITY OF TULSA,,"9,594",R HS IMP,"5,479.42",316.50,,53,"PDF page 53, property #357"
358,23850-93-15-12810,Unknown,LT 17 BLK 4,LORTONDALE ADDN,4920 E 26 PL S,CITY OF TULSA,,"9,246",R IMP,"7,334.48",316.50,,53,"PDF page 53, property #358"
359,23900-03-27-09090,Unknown,LOT-13-BLK-5,LOSEY'S ADDN,1514 N KINGSTON AV E,CITY OF TULSA,,"8,400",R IMP,"2,886.37",316.50,,53,"PDF page 53, property #359"
360,23900-03-27-09230,Unknown,LT-27-BLK-5,LOSEY'S ADDN,1555 N JOPLIN AV E,CITY OF TULSA,,"8,400",R IMP,"4,269.57",316.50,,53,"PDF page 53, property #360"
361,23900-03-27-09360,Unknown,LOT-9-BLK-6,LOSEY'S ADDN,1532 N KINGSTON PL E,CITY OF TULSA,,"8,400",R IMP,"3,982.26",332.25,,53,"PDF page 53, property #361"
362,24175-03-28-02800,Unknown,LOT-16-BLK-5,LOUISVILLE HGTS ADDN B1-8,1727 N HARVARD AV E,CITY OF TULSA,,"7,200",R IMP,"2,996.36",395.25,,53,"PDF page 53, property #362"
363,24200-03-28-04080,Unknown,LT 13 BLK 12 LOUISVILLE HGTS ADDN B9-30,1803 N INDIANAPOLIS AV,E,CITY OF TULSA,,"7,850",R HS IMP,"3,365.01",348.00,,53,"PDF page 53, property #363"
364,24200-03-28-06670,Unknown,LOT 3 BLK 27,LOUISVILLE HGTS ADDN B9-30,1588 N OSWEGO AV E,CITY OF TULSA,,"7,200",R IMP,"3,607.63",332.25,,54,"PDF page 54, property #364"
365,24225-02-25-16180,Unknown,LT 7 BLK 1,LOVE ADDN SUB L1-3 & 8-10 B5 ACRE GARDENS ADDN,324 E YOUNG PL N,CITY OF TULSA,,"7,000",R IMP,"2,886.37",363.75,,54,"PDF page 54, property #365"
366,24225-02-25-16210,Unknown,LT 10 BLK 1,LOVE ADDN SUB L1-3 & 8-10 B5 ACRE GARDENS ADDN,331 E YOUNG ST N,CITY OF TULSA,,"7,000",R IMP,"2,512.41",316.50,,54,"PDF page 54, property #366"
367,24275-93-06-14960,Unknown,LT 8 BLK 6,LYNCH & FORSYTHE'S ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"6,500",R,429.29,286.50,,54,"PDF page 54, property #367"
368,24275-93-06-15050,Unknown,LT 14 BLK 6,LYNCH & FORSYTHE'S ADDN,1411 E ADMIRAL BV N,CITY OF TULSA,,"6,500",C,953.23,286.50,,54,"PDF page 54, property #368"
369,24275-93-06-15060,Unknown,LT 15 BLK 6,LYNCH & FORSYTHE'S ADDN,1415 E ADMIRAL BV N,CITY OF TULSA,,"6,500",C IMP,"1,319.86",332.25,,54,"PDF page 54, property #369"
370,24275-93-06-15090,Unknown,LT 18 BLK 6,LYNCH & FORSYTHE'S ADDN,1427 E ADMIRAL BV N,CITY OF TULSA,,"6,500",C,953.23,286.50,,54,"PDF page 54, property #370"
371,24275-93-06-15100,Unknown,LT 19 BLK 6,LYNCH & FORSYTHE'S ADDN,1431 E ADMIRAL BV N,CITY OF TULSA,,"6,500",C,76.65,302.25,,55,"PDF page 55, property #371"
372,24275-93-06-15110,Unknown,LT 20 BLK 6,LYNCH & FORSYTHE'S ADDN,1435 E ADMIRAL BV N,CITY OF TULSA,,"6,500",C IMP,"3,321.66",332.25,,55,"PDF page 55, property #372"
373,24275-93-06-15130,Unknown,LT 22 BLK 6,LYNCH & FORSYTHE'S ADDN,1441 E ADMIRAL BV N,CITY OF TULSA,,"6,500",C IMP,"2,587.07",332.25,,55,"PDF page 55, property #373"
374,24275-93-06-15250,Unknown,LT 12 BLK 7,LYNCH & FORSYTHE'S ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"6,500",R,429.29,333.75,,55,"PDF page 55, property #374"
375,24275-93-06-17060,Unknown,LT 8 & PRT LT 9 BEG NEC TH WLY.32 SLY TO PT ON SL ELY.14 NLY POB BLK 19,LYNCH & FORSYTHE'S ADDN,1414 E 4 ST S,CITY OF TULSA,,"7,786",C IMP,"9,539.71",316.50,,55,"PDF page 55, property #375"
376,24400-03-28-07930,Unknown,LT 15 BLK 3,LYNNWOOD ADDN,2402 N OSWEGO AV E,CITY OF TULSA,,"8,645",R IMP,"2,206.44",348.00,,55,"PDF page 55, property #376"
377,24400-03-28-08320,Unknown,LT 3 BLK 5,LYNNWOOD ADDN,3910 E YOUNG ST N,CITY OF TULSA,,"8,060",R IMP,"2,071.12",316.50,,55,"PDF page 55, property #377"
378,24475-92-04-07370,Unknown,LT 12,MADISIN ACRES ADDN,3820 W ADMIRAL BV S,CITY OF TULSA,,"14,600",R IMP,"1,042.31",348.00,,56,"PDF page 56, property #378"
379,24525-94-07-04110,Unknown,LT 25 BLK 13,MAGIC CIRCLE ADDN,1622 S 108 AV E,CITY OF TULSA,,"8,592",R HS IMP,"6,830.15",316.50,,56,"PDF page 56, property #379"
380,24675-03-31-13180,Unknown,LT-15-BLK-1,MAGIC CITY ADDN,1427 N ST LOUIS AV E,CITY OF TULSA,,"7,250",R HS IMP,"1,003.06",332.25,,56,"PDF page 56, property #380"
381,24675-03-31-13270,Unknown,LOT-8-BLK-2,MAGIC CITY ADDN,1404 N ST LOUIS AV E,CITY OF TULSA,,"7,000",R IMP,"1,697.83",316.50,,56,"PDF page 56, property #381"
382,24775-93-27-02508,Unknown,"UNIT 5352 BLDG 2 & 9.0155 INT IN COMMON ELEMENTS IN FULTON PARK TOWNEHOMES BEING A PRT OF LTS 1 THRU 3 MAGNOLIA MANOR 3RD ADDN RESUB LT 1 BLK 2 MAGNOLIA MANOR 2ND MAGNOLIA MANOR 3RD ADDN RESUB L1 B2 MAGNOLIA MANOR 2ND 5352 E 47 PL S CITY OF TULSA R       IMP 3,299.67 332.25 383 24925-02-36-17420 LT 1 BLK 3",MANN'S ADDN,1084 N NORFOLK AV E,CITY OF TULSA,,"5,000",R HS IMP,"1,199.79",395.25,,56,"PDF page 56, property #382"
384,24925-02-36-17440,Unknown,LT 3 BLK 3,MANN'S ADDN,1076 N NORFOLK AV E,CITY OF TULSA,,"5,000",R,197.98,333.75,,57,"PDF page 57, property #384"
385,24925-02-36-17470,Unknown,LT 6 BLK 3,MANN'S ADDN,1062 N NORFOLK AV E,CITY OF TULSA,,"5,000",R IMP,"1,497.18",348.00,,57,"PDF page 57, property #385"
386,24925-02-36-18110,Unknown,LT 4 LESS BEG SWC LT 4 TH N49 E54.81 S49 W54.25 POB BLK 6,MANN'S ADDN,1018 N MADISON AV E,CITY OF TULSA,,"3,430",R IMP,"1,862.48",316.50,,57,"PDF page 57, property #386"
387,25000-92-12-08076,Unknown,"UNIT 4 & 1/4 INT IN COMMON ELEMENTS IN 1617 SOUTH CINCINNATI BEING PRT LT 7 BLK 12 MAPLE PARK ADDN 1617 S CINCINNATI AV E CITY OF TULSA R    HS IMP 5,800.47 332.25 388 25025-92-12-08940 E.50 OF LT 8 & ALL LT 7 BLK 7",MAPLE RIDGE ADDN,1002 E 20 ST S,CITY OF TULSA,,"12,300",R HS IMP,"40,051.99",348.00,,57,"PDF page 57, property #387"
389,25050-03-34-03580,Unknown,LT 1 BLK 1,MAPLEWOOD ADDN,1455 N KINGSTON PL E,CITY OF TULSA,,"10,800",R IMP,"4,724.19",316.50,,57,"PDF page 57, property #389"
390,25050-03-34-06390,Unknown,LT 53 BLK 14,MAPLEWOOD ADDN,5929 E KING ST N,CITY OF TULSA,,"7,182",R IMP,"5,882.74",395.25,,57,"PDF page 57, property #390"
391,25150-03-34-10030,Unknown,LT 8 BLK 22,MAPLEWOOD EXTENDED ADDN,1059 N IRVINGTON AV E,CITY OF TULSA,,"7,080",R HS IMP,"4,655.65",316.50,,58,"PDF page 58, property #391"
392,25200-03-35-07780,Unknown,LT 1 BLK 2 MAPLEWOOD 2ND ALSO LT 1 BLK  22 W PART VAL CHARLES ALL ASSESSED IN   MAPLEWOOD 2ND MAPLEWOOD 2ND ADDN OF TR A POLSTON ACRES,6780 E INDEPENDENCE,ST N,CITY OF TULSA,,"8,260",R HS IMP,"4,404.05",332.25,,58,"PDF page 58, property #392"
393,25225-03-35-09460,Unknown,LT 9 BLK 1,MAPLEWOOD THIRD ADDN,7849 E KING PL N,CITY OF TULSA,,"7,366",R IMP,"4,414.22",348.00,,58,"PDF page 58, property #393"
394,25225-03-35-09930,Unknown,LT 29 BLK 3,MAPLEWOOD THIRD ADDN,7845 E KING ST N,CITY OF TULSA,,"7,714",R HS IMP,"1,713.76",316.50,,58,"PDF page 58, property #394"
395,25375-03-29-05230,Unknown,LT 9 BLK 1,MARION TERRACE ADDN,3209 E XYLER ST N,CITY OF TULSA,,"8,340",R IMP,"8,084.52",332.25,,58,"PDF page 58, property #395"
396,25375-03-29-05240,Unknown,LT 10 BLK 1,MARION TERRACE ADDN,3215 E XYLER ST N,CITY OF TULSA,,"8,340",R HS IMP,"3,313.80",348.00,,58,"PDF page 58, property #396"
397,25500-03-29-05850,Unknown,W.45 OF LT 3 BLK 1,MARTIN ADDN,2604 E TECUMSEH ST N,CITY OF TULSA,,"6,030",R IMP,"1,095.22",348.00,,59,"PDF page 59, property #397"
398,25500-03-29-06000,Unknown,N.1/2 OF LT 3 BLK 4,MARTIN ADDN,1831 N BIRMINGHAM PL E,CITY OF TULSA,,"9,648",R IMP,"3,123.68",348.00,,59,"PDF page 59, property #398"
399,25500-03-29-06060,Unknown,W.84 OF LT 1 BLK 5,MARTIN ADDN,2625 E TECUMSEH ST N,CITY OF TULSA,,"11,172",R IMP,"3,310.33",332.25,,59,"PDF page 59, property #399"
400,25525-03-29-06940,Unknown,LT 6 BLK 6,MARTIN ADDN RESUB PRT L1 & ALL L2-5 B6,2012 N COLUMBIA AV E,CITY OF TULSA,,"7,632",R HS IMP,"3,645.63",363.75,,59,"PDF page 59, property #400"
401,25550-03-29-07010,Unknown,N/2 LT 3  BLK 13,MARTIN SECOND ADDN,1829 N DELAWARE AV E,CITY OF TULSA,,"10,080",R IMP,"2,783.21",332.25,,59,"PDF page 59, property #401"
402,25575-03-19-05190,Unknown,LT 4 BLK 2,MARTIN ROLL ADDN,2735 N QUINCY AV E,CITY OF TULSA,,"7,000",R IMP,"1,147.21",316.50,,59,"PDF page 59, property #402"
403,25575-03-19-05410,Unknown,LT 24 BLK 2,MARTIN ROLL ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"7,000",R,124.65,270.75,,59,"PDF page 59, property #403"
404,25650-03-34-12590,Unknown,LT 8 BLK 4,MARY ELLEN SECOND,816 N HUDSON AV E,CITY OF TULSA,,"8,424",R IMP,"4,278.23",316.50,,60,"PDF page 60, property #404"
405,25675-93-15-17960,Unknown,LT 2 BLK 10,MARY FRANCES ADDN,2310 S HUDSON PL E,CITY OF TULSA,,"7,320",R IMP,"9,532.38",316.50,,60,"PDF page 60, property #405"
406,25775-03-33-09190,Unknown,S. 72' OF W. 150' LOT 9 BLK 1,MARYLAND GARDENS ADDN,813 N SANDUSKY AV E,CITY OF TULSA,,"10,800",R IMP,"2,725.06",332.25,,60,"PDF page 60, property #406"
407,25775-03-33-10030,Unknown,E 65 W 130 N 110 LT 10 BLK 4 MARYLAND GARDENS ADDN,4109 E INDEPENDENCE,ST N,CITY OF TULSA,,"7,150",R IMP,"2,715.72",316.50,,60,"PDF page 60, property #407"
408,25775-03-33-10290,Unknown,W.50 E.150 LT 1 BLK 6 MARYLAND GARDENS ADDN,4328 E INDEPENDENCE,ST N,CITY OF TULSA,,"5,000",R IMP,"1,833.15",332.25,,60,"PDF page 60, property #408"
409,25800-03-32-08990,Unknown,LT 9 BLK 1,MARYLAND HGTS ADDN,1423 N COLLEGE AV E,CITY OF TULSA,,"7,830",R IMP,"2,979.03",348.00,,60,"PDF page 60, property #409"
410,25800-03-32-09420,Unknown,LT 2 BLK 4,MARYLAND HGTS ADDN,1458 N EVANSTON AV E,CITY OF TULSA,,"7,830",R IMP,"2,469.01",316.50,,60,"PDF page 60, property #410"
411,25800-03-32-09470,Unknown,LT 7 BLK 4,MARYLAND HGTS ADDN,1434 N EVANSTON AV E,CITY OF TULSA,,"7,830",R IMP,"1,026.56",332.25,,61,"PDF page 61, property #411"
412,25975-93-30-09740,Unknown,LT 28 BLK 1,MAX CAMPBELL 3RD ADDN,1513 E 43 PL S,CITY OF TULSA,,"7,500",R IMP,"10,338.96",332.25,,61,"PDF page 61, property #412"
413,26250-92-05-02570,Unknown,LT-3-BLK-2,MAYFAIR ADDN,4914 W 1 ST S,CITY OF TULSA,,"8,400",R IMP,"3,382.32",348.00,,61,"PDF page 61, property #413"
414,26275-93-09-07670,Unknown,LT-5-BLK-1,MAYO ADDN,4004 E 11 ST S,CITY OF TULSA,,"5,000",C IMP,"7,361.93",316.50,,61,"PDF page 61, property #414"
415,26300-93-16-10560,Unknown,LT 6 BLK 8,MAYO MEADOW,4404 E 23 ST S,CITY OF TULSA,,"7,800",R HS IMP,"10,828.56",348.00,,61,"PDF page 61, property #415"
416,26390-94-16-15330,Unknown,LT 2 BLK 4,MAYO PLAZA EXTENDED ADDN,2716 S 130 AV E,CITY OF TULSA,,"8,223",R IMP,"6,353.46",363.75,,61,"PDF page 61, property #416"
417,26725-02-25-16640,Unknown,S.112' LOT 18-BLK-1,MEADOWBROOK ADDN,515 E UTE ST N,CITY OF TULSA,,"6,720",R HS IMP,"1,216.55",348.00,,61,"PDF page 61, property #417"
418,26725-02-25-17590,Unknown,N120 & W10 S120 LT 29 BLK 5,MEADOWBROOK ADDN,252 E UTE ST,CITY OF TULSA,,"7,200",R,199.98,318.00,,62,"PDF page 62, property #418"
419,26725-02-25-17680,Unknown,LOT-3-BLK-6,MEADOWBROOK ADDN,412 E UTE ST N,CITY OF TULSA,,"9,000",R IMP,"3,047.69",584.25,,62,"PDF page 62, property #419"
420,26725-02-25-17850,Unknown,LOT-9-BLK-7,MEADOWBROOK ADDN,ADDRESS UNKNOWN,CITY OF TULSA,,"9,000",R,843.24,302.25,,62,"PDF page 62, property #420"
421,26725-02-25-17880,Unknown,LOT-12-BLK-7,MEADOWBROOK ADDN,548 E UTE ST N,CITY OF TULSA,,"9,000",R IMP,"2,444.42",395.25,,62,"PDF page 62, property #421"
